seq_id,salt
kvar_0171,0.3
kvar_0171,0.5
kvar_0172,0.05
kvar_0172,0.1
kvar_0172,0.15
kvar_0172,0.3
kvar_0172,0.5
kvar_0173,0.05
kvar_0173,0.1
kvar_0173,0.15
kvar_0173,0.3
kvar_0173,0.5
kvar_0174,0.05
kvar_0174,0.1
kvar_0174,0.15
kvar_0174,0.3
kvar_0174,0.5
kvar_0175,0.05
kvar_0175,0.1
kvar_0175,0.15
kvar_0175,0.3
kvar_0175,0.5
kvar_0176,0.05
kvar_0176,0.1
kvar_0176,0.15
kvar_0176,0.3
kvar_0176,0.5
kvar_0177,0.05
kvar_0177,0.1
kvar_0177,0.15
kvar_0177,0.3
kvar_0177,0.5
kvar_0178,0.05
kvar_0178,0.1
kvar_0178,0.15
kvar_0178,0.3
kvar_0178,0.5
kvar_0179,0.05
kvar_0179,0.1
kvar_0179,0.15
kvar_0179,0.3
kvar_0179,0.5
kvar_0180,0.05
kvar_0180,0.1
kvar_0180,0.15
kvar_0180,0.3
kvar_0180,0.5
kvar_0181,0.05
kvar_0181,0.1
kvar_0181,0.15
kvar_0181,0.3
kvar_0181,0.5
kvar_0182,0.05
kvar_0182,0.1
kvar_0182,0.15
kvar_0182,0.3
kvar_0182,0.5
kvar_0183,0.05
kvar_0183,0.1
kvar_0183,0.15
kvar_0183,0.3
kvar_0183,0.5
kvar_0184,0.05
kvar_0184,0.1
kvar_0184,0.15
kvar_0184,0.3
kvar_0184,0.5
kvar_0185,0.05
kvar_0185,0.1
kvar_0185,0.15
kvar_0185,0.3
kvar_0185,0.5
kvar_0186,0.05
kvar_0186,0.1
kvar_0186,0.15
kvar_0186,0.3
kvar_0186,0.5
kvar_0187,0.05
kvar_0187,0.1
kvar_0187,0.15
kvar_0187,0.3
kvar_0187,0.5
kvar_0188,0.05
kvar_0188,0.1
kvar_0188,0.15
kvar_0188,0.3
kvar_0188,0.5
kvar_0189,0.05
kvar_0189,0.1
kvar_0189,0.15
kvar_0189,0.3
kvar_0189,0.5
kvar_0190,0.05
kvar_0190,0.1
kvar_0190,0.15
kvar_0190,0.3
kvar_0190,0.5
kvar_0191,0.05
kvar_0191,0.1
kvar_0191,0.15
kvar_0191,0.3
kvar_0191,0.5
kvar_0192,0.05
kvar_0192,0.1
kvar_0192,0.15
kvar_0192,0.3
kvar_0192,0.5
kvar_0193,0.05
kvar_0193,0.1
kvar_0193,0.15
kvar_0193,0.3
kvar_0193,0.5
kvar_0194,0.05
kvar_0194,0.1
kvar_0194,0.15
kvar_0194,0.3
kvar_0194,0.5
ncpr_0000,0.05
ncpr_0000,0.1
ncpr_0000,0.15
ncpr_0000,0.3
ncpr_0000,0.5
ncpr_0001,0.05
ncpr_0001,0.1
ncpr_0001,0.15
ncpr_0001,0.3
ncpr_0001,0.5
ncpr_0002,0.05
ncpr_0002,0.1
ncpr_0002,0.15
ncpr_0002,0.3
ncpr_0002,0.5
ncpr_0003,0.05
ncpr_0003,0.1
ncpr_0003,0.15
ncpr_0003,0.3
ncpr_0003,0.5
ncpr_0004,0.05
ncpr_0004,0.1
ncpr_0004,0.15
ncpr_0004,0.3
ncpr_0004,0.5
ncpr_0005,0.05
ncpr_0005,0.1
ncpr_0005,0.15
ncpr_0005,0.3
ncpr_0005,0.5
ncpr_0006,0.05
ncpr_0006,0.1
ncpr_0006,0.15
ncpr_0006,0.3
ncpr_0006,0.5
ncpr_0007,0.05
ncpr_0007,0.1
ncpr_0007,0.15
ncpr_0007,0.3
ncpr_0007,0.5
ncpr_0008,0.05
ncpr_0008,0.1
ncpr_0008,0.15
ncpr_0008,0.3
ncpr_0008,0.5
ncpr_0009,0.05
ncpr_0009,0.1
ncpr_0009,0.15
ncpr_0009,0.3
ncpr_0009,0.5
ncpr_0010,0.05
ncpr_0010,0.1
ncpr_0010,0.15
ncpr_0010,0.3
ncpr_0010,0.5
ncpr_0011,0.05
ncpr_0011,0.1
ncpr_0011,0.15
ncpr_0011,0.3
ncpr_0011,0.5
ncpr_0012,0.05
ncpr_0012,0.1
ncpr_0012,0.15
ncpr_0012,0.3
ncpr_0012,0.5
ncpr_0013,0.05
ncpr_0013,0.1
ncpr_0013,0.15
ncpr_0013,0.3
ncpr_0013,0.5
ncpr_0014,0.05
ncpr_0014,0.1
ncpr_0014,0.15
ncpr_0014,0.3
ncpr_0014,0.5
ncpr_0015,0.05
ncpr_0015,0.1
ncpr_0015,0.15
ncpr_0015,0.3
ncpr_0015,0.5
ncpr_0016,0.05
ncpr_0016,0.1
ncpr_0016,0.15
ncpr_0016,0.3
ncpr_0016,0.5
ncpr_0017,0.05
ncpr_0017,0.1
ncpr_0017,0.15
ncpr_0017,0.3
ncpr_0017,0.5
ncpr_0018,0.05
ncpr_0018,0.1
ncpr_0018,0.15
ncpr_0018,0.3
ncpr_0018,0.5
ncpr_0019,0.05
ncpr_0019,0.1
ncpr_0019,0.15
ncpr_0019,0.3
ncpr_0019,0.5
ncpr_0020,0.05
ncpr_0020,0.1
ncpr_0020,0.15
ncpr_0020,0.3
ncpr_0020,0.5
ncpr_0021,0.05
ncpr_0021,0.1
ncpr_0021,0.15
ncpr_0021,0.3
ncpr_0021,0.5
ncpr_0022,0.05
ncpr_0022,0.1
ncpr_0022,0.15
ncpr_0022,0.3
ncpr_0022,0.5
ncpr_0023,0.05
ncpr_0023,0.1
ncpr_0023,0.15
ncpr_0023,0.3
ncpr_0023,0.5
ncpr_0024,0.05
ncpr_0024,0.1
ncpr_0024,0.15
ncpr_0024,0.3
ncpr_0024,0.5
ncpr_0025,0.05
ncpr_0025,0.1
ncpr_0025,0.15
ncpr_0025,0.3
ncpr_0025,0.5
ncpr_0026,0.05
ncpr_0026,0.1
ncpr_0026,0.15
ncpr_0026,0.3
ncpr_0026,0.5
ncpr_0027,0.05
ncpr_0027,0.1
ncpr_0027,0.15
ncpr_0027,0.3
ncpr_0027,0.5
ncpr_0028,0.05
ncpr_0028,0.1
ncpr_0028,0.15
ncpr_0028,0.3
ncpr_0028,0.5
ncpr_0029,0.05
ncpr_0029,0.1
ncpr_0029,0.15
ncpr_0029,0.3
ncpr_0029,0.5
ncpr_0030,0.05
ncpr_0030,0.1
ncpr_0030,0.15
ncpr_0030,0.3
ncpr_0030,0.5
ncpr_0031,0.05
ncpr_0031,0.1
ncpr_0031,0.15
ncpr_0031,0.3
ncpr_0031,0.5
ncpr_0032,0.05
ncpr_0032,0.1
ncpr_0032,0.15
ncpr_0032,0.3
ncpr_0032,0.5
ncpr_0033,0.05
ncpr_0033,0.1
ncpr_0033,0.15
ncpr_0033,0.3
ncpr_0033,0.5
ncpr_0034,0.05
ncpr_0034,0.1
ncpr_0034,0.15
ncpr_0034,0.3
ncpr_0034,0.5
ncpr_0035,0.05
ncpr_0035,0.1
ncpr_0035,0.15
ncpr_0035,0.3
ncpr_0035,0.5
ncpr_0036,0.05
ncpr_0036,0.1
ncpr_0036,0.15
ncpr_0036,0.3
ncpr_0036,0.5
ncpr_0037,0.05
ncpr_0037,0.1
ncpr_0037,0.15
ncpr_0037,0.3
ncpr_0037,0.5
ncpr_0038,0.05
ncpr_0038,0.1
ncpr_0038,0.15
ncpr_0038,0.3
ncpr_0038,0.5
ncpr_0039,0.05
ncpr_0039,0.1
ncpr_0039,0.15
ncpr_0039,0.3
ncpr_0039,0.5
ncpr_0040,0.05
ncpr_0040,0.1
ncpr_0040,0.15
ncpr_0040,0.3
ncpr_0040,0.5
ncpr_0041,0.05
ncpr_0041,0.1
ncpr_0041,0.15
ncpr_0041,0.3
ncpr_0041,0.5
ncpr_0042,0.05
ncpr_0042,0.1
ncpr_0042,0.15
ncpr_0042,0.3
ncpr_0042,0.5
ncpr_0043,0.05
ncpr_0043,0.1
ncpr_0043,0.15
ncpr_0043,0.3
ncpr_0043,0.5
ncpr_0044,0.05
ncpr_0044,0.1
ncpr_0044,0.15
ncpr_0044,0.3
ncpr_0044,0.5
ncpr_0045,0.05
ncpr_0045,0.1
ncpr_0045,0.15
ncpr_0045,0.3
ncpr_0045,0.5
ncpr_0046,0.05
ncpr_0046,0.1
ncpr_0046,0.15
ncpr_0046,0.3
ncpr_0046,0.5
ncpr_0047,0.05
ncpr_0047,0.1
ncpr_0047,0.15
ncpr_0047,0.3
ncpr_0047,0.5
ncpr_0048,0.05
ncpr_0048,0.1
ncpr_0048,0.15
ncpr_0048,0.3
ncpr_0048,0.5
ncpr_0049,0.05
ncpr_0049,0.1
ncpr_0049,0.15
ncpr_0049,0.3
ncpr_0049,0.5
ncpr_0050,0.05
ncpr_0050,0.1
ncpr_0050,0.15
ncpr_0050,0.3
ncpr_0050,0.5
ncpr_0051,0.05
ncpr_0051,0.1
ncpr_0051,0.15
ncpr_0051,0.3
ncpr_0051,0.5
ncpr_0052,0.05
ncpr_0052,0.1
ncpr_0052,0.15
ncpr_0052,0.3
ncpr_0052,0.5
ncpr_0053,0.05
ncpr_0053,0.1
ncpr_0053,0.15
ncpr_0053,0.3
ncpr_0053,0.5
