seq_id,n_points,Rg_slope,Rg_intercept,Rg_r2_lin,Rg_rmse_lin,Rg_curvature,Rg_r2_quad,Rg_at_50mM,Rg_at_500mM,Rg_rel_change,Rg_n_valid,Ree_slope,Ree_intercept,Ree_r2_lin,Ree_rmse_lin,Ree_curvature,Ree_r2_quad,Ree_at_50mM,Ree_at_500mM,Ree_rel_change,Ree_n_valid,Ree_Rg_sq_slope,Ree_Rg_sq_intercept,Ree_Rg_sq_r2_lin,Ree_Rg_sq_rmse_lin,Ree_Rg_sq_curvature,Ree_Rg_sq_r2_quad,Ree_Rg_sq_at_50mM,Ree_Rg_sq_at_500mM,Ree_Rg_sq_rel_change,Ree_Rg_sq_n_valid,nu_masked_slope,nu_masked_intercept,nu_masked_r2_lin,nu_masked_rmse_lin,nu_masked_curvature,nu_masked_r2_quad,nu_masked_at_50mM,nu_masked_at_500mM,nu_masked_rel_change,nu_masked_n_valid,regime,monotonicity
ncpr_0047,5,-0.567219936540505,3.433351019117394,0.7435549705026112,0.0543291496533127,2.2677577322639437,0.9146441328153913,3.4952094214222007,3.1855591129909206,-0.0885927768829609,5,-2.312843076949732,8.789354322429887,0.7356785334375049,0.2261044769217254,9.581779529831222,0.9174422424853386,9.047143080711365,7.785506037998199,-0.1394514302977028,5,-1.347385730707303,6.554563847838504,0.7391493878911528,0.130545703004985,5.694835923340589,0.9292265091363504,6.700026382011733,5.973135333827144,-0.1084907740268232,5,-0.1008424713626091,0.6268878433457586,0.647917414510766,0.0121240228078975,0.4798542885188995,0.8591060444966994,0.6421014743391321,0.5840368189194826,-0.090429095306799,5,PE_contraction,decreasing
ncpr_0048,5,0.0051798022532723,3.0625826364525954,0.0090115054112121,0.0088591005474584,-0.2959276255066609,0.4324214812299322,3.0543084017659785,3.0588053274283142,0.0014723220679796,5,-0.2381115077312739,7.447904725563797,0.4908533685679809,0.0395518455198651,-1.0156930320369628,0.6194220031763886,7.373091324710845,7.315060357570648,-0.007870642663235,5,-0.3943062176099535,5.91391406157364,0.6703642986927326,0.0450958031441372,-0.4802008957194405,0.6846765725655949,5.82738152513444,5.719158753845149,-0.0185714236870382,5,-0.0147988021552752,0.5716820411683196,0.4015052728541532,0.002946808542622,-0.0359494551695914,0.4356121400636746,0.5679816693524031,0.5636341529546769,-0.0076543251874363,5,salt_insensitive,non-monotonic
ncpr_0049,5,-0.1029068908834648,3.1246635768385853,0.24649586999329,0.0293442673227912,0.3182130729678418,0.280425244066219,3.159646521052765,3.070853803898128,-0.0281021046382909,5,-0.3814088482103842,7.6689419895197215,0.3296640885687371,0.088703755062679,-0.6544002833026853,0.3436340803274692,7.744996650934219,7.441170073747635,-0.0392287551408993,5,-0.2056311283468729,6.024061632114733,0.2426894329370708,0.0592435741940648,-2.272927696219757,0.6695278207470055,6.008491754565078,5.871704338718732,-0.0227656825429474,5,-0.0131012017831588,0.5743874329363061,0.0875015497343469,0.0069001756990151,-0.0486788807594261,0.1048913150851325,0.5813944882088605,0.5651414945797418,-0.0279551904236146,5,salt_insensitive,non-monotonic
ncpr_0050,5,0.138344449944449,2.9658795075898263,0.679484943806535,0.0154966155150481,0.5352686102257801,0.8259112097636317,2.9985471469677933,3.043199490143269,0.0148913260278829,5,0.0295051227583923,7.278293820302648,0.0033701698755756,0.0827521505556455,2.833419018803865,0.4507718696832943,7.418837562084198,7.330261935901642,-0.0119392863695039,5,-0.4956403968078318,6.020847585772287,0.4912725519730442,0.082260027310668,2.5280991672346262,0.675263475466058,6.121388746765218,5.8020055856618455,-0.0521749515209513,5,-0.0143488469946657,0.5746856765305268,0.1393065768198461,0.0058169623776677,0.1718470382900528,0.4269409566446451,0.5836268186637209,0.5698784774323978,-0.0235567331583586,5,salt_insensitive,non-monotonic
ncpr_0051,5,0.3087520745783452,2.9401914544460115,0.4984686051491387,0.0505104060213823,-2.5165411185737896,0.9751686395713338,2.901917445232473,3.04768936308268,0.0502329651347228,5,0.7677217152602683,7.063308377155147,0.41782113480527,0.1478010974299721,-7.215852638304772,0.9491668040899468,6.979812393903733,7.306583622312545,0.0468166205576269,5,0.0411823571732791,5.7706494368798,0.0145627033746292,0.0552516834694731,-1.820137232412082,0.4240561433175791,5.785186880627495,5.747610368330899,-0.006495297917242,5,0.0480218768939905,0.5431260679508224,0.4167719659789594,0.0092650953815011,-0.4242627173962185,0.8850556829352729,0.5407004614224316,0.5584452099047647,0.0328180753455464,5,non_monotonic,non-monotonic
ncpr_0052,5,0.3635601231704021,2.841701523241462,0.9248763471358916,0.0168990998623104,-0.4225166466804838,0.9428583440026724,2.8517625167358065,3.0127144142647166,0.0564394463369058,5,1.4592629806618924,6.581089741109548,0.9424340980273596,0.0588208837160017,-1.2436706174101295,0.9522881236720157,6.663575409364701,7.272240325641632,0.0913420917277441,5,0.9634226447192284,5.366779263792075,0.9187455911824108,0.0467286787636945,-0.4379634320311688,0.9214786963843508,5.459940637205477,5.82667124044301,0.0671675074154713,5,0.0548125061821999,0.5383570451066207,0.7092140170067471,0.0057242495251361,-0.0319163151819751,0.712675502862306,0.5425723788265462,0.5638353761695222,0.0391892366304432,5,non_monotonic,non-monotonic
ncpr_0053,5,0.1583667364965332,2.976635566004359,0.5622036358261667,0.0227926087600793,-1.158260662750541,0.9951134278130718,2.9584695394248364,3.034055773494321,0.0255490999864002,5,0.6229077149799895,7.13681695144517,0.5609419780796285,0.0898807143753491,-4.46901925901233,0.9765788372068152,7.051924501037598,7.363203049230576,0.0441409360164274,5,0.3862551615039281,5.748525421439993,0.4756573889037953,0.0661417325252091,-2.6870618809415925,0.8070326413042843,5.681736697647947,5.88960859377652,0.0365859784059731,5,0.0201913383581335,0.5616014522082745,0.2168858472965509,0.0062575287633101,-0.2699629244538287,0.7750068018776445,0.558055626096451,0.5657173763181617,0.0137293665065325,5,salt_insensitive,non-monotonic
ncpr_0054,5,0.1536601212062686,2.956064908516095,0.3046175543394911,0.0378648628208578,-0.6229346116349196,0.3766845782668253,2.906850211098816,3.031321761938833,0.0428200773348295,5,0.4777255098443295,7.037516310952838,0.1840781342745034,0.1640372329803415,-2.859320509733981,0.2790052089101171,6.816792554950714,7.266687807846069,0.065998084769151,5,0.1813230160675026,5.666047601700666,0.0581615903840494,0.1190046180447745,-2.2340183767176933,0.1852549813066906,5.499394175043823,5.746573027915473,0.0449465604763057,5,0.0055543059071697,0.5547824092637056,0.0057174450608386,0.0119460553650006,-0.0622227437531242,0.0160464813946522,0.5403511932155329,0.559895081890276,0.0361688637318276,5,non_monotonic,non-monotonic
ncpr_0055,5,0.2527800872114141,2.9774265240800366,0.6823952148654289,0.0281260801343281,-1.060855517588065,0.8554094403715965,2.9627413590900127,3.087268482934253,0.0420310478544397,5,0.9544322016579764,7.10454122992243,0.5446774360344753,0.1423232315229434,-5.909191534928975,0.8452327639811301,6.9523988106727606,7.492033409833908,0.0776184758464581,5,0.5498422242878082,5.693829735495817,0.3155210591377128,0.1320823465665152,-5.359027698339965,0.7469837611112051,5.50657898319426,5.889122823840618,0.0694703266427047,5,0.049284056909024,0.5536638390098175,0.4948403824506345,0.0081213647222119,-0.3254735466684373,0.8055128063270345,0.5453882488942206,0.5734340391110856,0.0514235322703195,5,PA_swelling,increasing
ncpr_0056,5,0.1044048687492986,3.0751367402538867,0.7349242593434875,0.0102264587324315,-0.158189604726214,0.7592113806208691,3.079437922842262,3.125365488296117,0.0149142689687553,5,0.3303145353059141,7.490470696765855,0.762517822301771,0.0300648481886745,-0.0493589407575067,0.7627629234642657,7.514039873409271,7.6579182889938355,0.0191479441164163,5,0.1184927190674028,5.93335556929346,0.6462762434803937,0.014297348457674,0.5266516142014758,0.8300573154142915,5.953934918871583,6.003711736738693,0.0083603228025449,5,0.0148491846725203,0.5753405232311258,0.5901938044510071,0.0020180659907783,0.0595093453337182,0.7266454741808573,0.577367737940494,0.5841846016382704,0.0118067970373483,5,salt_insensitive,non-monotonic
