seq_id,salt_mM,salt_M,Rg,Rg_err,Ree,Ree_err,nu,nu_err,nu_reliable,Ree_Rg_sq,nu_masked
idr_0118,500,0.5,4.21614487001379,0.0586441231909676,9.415583563184738,0.2510332565564014,0.4783887142798509,0.0013566747298034,True,4.9872763531039705,0.4783887142798509
idr_0119,50,0.05,4.260984617849381,0.0756899591742017,9.284782178974153,0.3224011263294632,0.4420380548267417,0.0010192623724774,True,4.748139898814511,0.4420380548267417
idr_0119,100,0.1,4.713294024478578,0.109950523765175,10.699692622852329,0.395722820719485,0.5005969369252172,0.0009719152495382,True,5.153396257305129,0.5005969369252172
idr_0119,150,0.15,4.891175250962704,0.0967160695971128,11.083835069179536,0.3471082926944823,0.5089514979743801,0.0009324588603524,True,5.135156238736749,0.5089514979743801
idr_0119,300,0.3,4.733192233776308,0.0827744747272841,10.649389209985731,0.3197418600290475,0.478881880888514,0.0008671461065054,True,5.062221138756395,0.478881880888514
idr_0119,500,0.5,5.06791426219776,0.1042455434375474,11.952518808555604,0.4588540219611382,0.5413102982536283,0.0008268736993276,True,5.562376141704313,0.5413102982536283
idr_0120,50,0.05,3.171481339370814,0.0259281425336601,7.574378668498993,0.1147315174660687,0.5694501032012991,0.0049226060768046,True,5.703871139994855,0.5694501032012991
idr_0120,100,0.1,3.1623808273165595,0.024803228496038,7.631614412260056,0.11314468380895,0.5845856268243461,0.0042950790569548,True,5.823773854256698,0.5845856268243461
idr_0120,150,0.15,3.077474378831253,0.0218073177023242,7.435706399726868,0.0976957658265515,0.569748499924415,0.0037775123926948,True,5.837885523905386,0.569748499924415
idr_0120,300,0.3,2.974928787017152,0.0218904426207528,7.054693533945084,0.1060430198195144,0.5590994906602691,0.0036918113704661,True,5.623454115824625,0.5590994906602691
idr_0120,500,0.5,2.9207160446183527,0.0232926375140511,7.082966941547395,0.0963230233201615,0.5669852273686239,0.0021778839842715,True,5.881007818773299,0.5669852273686239
idr_0121,50,0.05,1.869626463242167,0.0090775985040617,4.633145499038696,0.0463788051575155,0.6355651657871932,0.0141696718587426,True,6.141043657272027,0.6355651657871932
idr_0121,100,0.1,1.8425503722117755,0.0094084368993055,4.612025278234482,0.04627070551674,0.6380192730003336,0.0120053835395931,True,6.265339640165154,0.6380192730003336
idr_0121,150,0.15,1.7759874864480787,0.009137898889312,4.375389398002624,0.0455277361034699,0.6133092479508583,0.0115673703293698,True,6.069509805921809,0.6133092479508583
idr_0121,300,0.3,1.7171513514869583,0.0091862672157496,4.221394486141206,0.0394305546163393,0.6048292604346537,0.008659908445955,True,6.0435862586163775,0.6048292604346537
idr_0121,500,0.5,1.6673078632002951,0.0089679685923123,4.091780096101761,0.043807055418864,0.5893186210901286,0.0076031081267472,True,6.022724176499042,0.5893186210901286
idr_0122,50,0.05,2.560065833581242,0.027763412785414,5.530277019023895,0.1324097178254464,0.4509351759380317,0.0036691546202607,True,4.666502526633319,0.4509351759380317
idr_0122,100,0.1,2.579828396149176,0.0263672232840786,5.702302180194855,0.1176685134390528,0.4715770035365296,0.0029319709066202,True,4.8856102548489035,0.4715770035365296
idr_0122,150,0.15,2.604847150398528,0.0269795596223396,5.901151093149185,0.1247324148858505,0.4874976628842399,0.0024604130515657,True,5.1322639047567025,0.4874976628842399
idr_0122,300,0.3,2.5486594186654004,0.0279344911052771,5.915125666570664,0.1272879551935302,0.491421593000397,0.0023273608382739,True,5.386471216473593,0.491421593000397
idr_0122,500,0.5,2.5625298797478497,0.0236935908674081,6.0176691520214085,0.102534672066323,0.5038537346690306,0.0021434849000361,True,5.514659946289818,0.5038537346690306
idr_0123,50,0.05,2.8649167934679816,0.0182344513086258,7.039882664585114,0.0849812333026038,0.5898704286640635,0.0025786342768471,True,6.038190563506523,0.5898704286640635
idr_0123,100,0.1,2.800289223310476,0.0201049748134026,6.786895437717438,0.0878879221280357,0.5800892358831281,0.0029406701567611,True,5.874035115689635,0.5800892358831281
idr_0123,150,0.15,2.7531907308106085,0.0187888534981532,6.724693996047973,0.0831968546281832,0.5745310425931249,0.0021230608245435,True,5.965851736245345,0.5745310425931249
idr_0123,300,0.3,2.7594041851681905,0.0173296959343647,6.735897439289094,0.0773666067913715,0.5836256021632462,0.0023535530055762,True,5.958820382921473,0.5836256021632462
idr_0123,500,0.5,2.6934850866950586,0.0176193694520415,6.396714611721039,0.0818867879124771,0.5554649081643093,0.0033474653950487,True,5.640073969529585,0.5554649081643093
idr_0124,50,0.05,2.408096729194369,0.0181970678737601,5.606290236616134,0.074676463226906,0.5312782356424601,0.004653533485237,True,5.420050076720305,0.5312782356424601
idr_0124,100,0.1,2.3154232276963893,0.0185856997283759,5.391511410808564,0.0784183864131114,0.5159334222687396,0.0036693932860907,True,5.4220096476516995,0.5159334222687396
idr_0124,150,0.15,2.2831728713884294,0.0188570367248815,5.368444965696336,0.075982118971089,0.5217773549012292,0.0022918004846898,True,5.528654105435409,0.5217773549012292
idr_0124,300,0.3,2.249650643839602,0.0201033891326888,5.222550194072723,0.082398131483324,0.5145676606029707,0.002129474499999,True,5.389333818905217,0.5145676606029707
idr_0124,500,0.5,2.257897251325753,0.0176417033206093,5.216435971164704,0.0699408712812418,0.51179674275978,0.0031098747434897,True,5.33751873332573,0.51179674275978
idr_0125,50,0.05,2.651336439664996,0.0228460457912821,6.274081951570511,0.0908052829710249,0.5322301844654432,0.0009299229273714,True,5.599776488050085,0.5322301844654432
idr_0125,100,0.1,2.6206569834046585,0.0223627426279026,6.250313541793823,0.092945578166941,0.5277120548736463,0.0016656672640719,True,5.688309885711462,0.5277120548736463
idr_0125,150,0.15,2.670726241004377,0.0278069666288354,6.251919790935516,0.0982964204916648,0.529271983566473,0.0008948958524923,True,5.479842143739892,0.529271983566473
idr_0125,300,0.3,2.631250997416816,0.0241601045821735,6.110517552566529,0.0972717875932157,0.523706891534897,0.0009348157473006,True,5.3930126166729595,0.523706891534897
idr_0125,500,0.5,2.556007330427274,0.0231696807318044,5.8254437073707575,0.0911025548344506,0.4962797228649416,0.0014618659679866,True,5.194381341160703,0.4962797228649416
idr_0126,50,0.05,3.057660724958247,0.0365769535974698,6.2964065371990205,0.1457673892152871,0.4398787040475158,0.0051623100831354,True,4.240401042227015,0.4398787040475158
idr_0126,100,0.1,3.2271052892212584,0.0446597219379385,7.048223971796037,0.170997969740586,0.5073517292030872,0.0047180429104767,True,4.770161931074168,0.5073517292030872
idr_0126,150,0.15,3.189832088356573,0.0368595832333303,7.068716458845138,0.1389637078588461,0.4975437073360595,0.0038443752596932,True,4.910723457776206,0.4975437073360595
idr_0126,300,0.3,3.3213583699379203,0.039964174612474,7.505179498529435,0.1408319493005142,0.5280684931472931,0.0039323223987477,True,5.106116170584837,0.5280684931472931
idr_0126,500,0.5,3.349527972618424,0.0343060237537152,7.763596004486084,0.1253568184889609,0.5412374441370389,0.0030671739407301,True,5.37227997394921,0.5412374441370389
idr_0127,50,0.05,3.167083821809981,0.0305599486366609,7.660544438076019,0.1321922220467735,0.5518723540000089,0.0004772638349045,True,5.850596632215708,0.5518723540000089
idr_0127,100,0.1,3.03995835477812,0.032704627611438,7.194201012516022,0.1290192511720494,0.5214030636112403,0.0009540412793902,True,5.6005395463883625,0.5214030636112403
idr_0127,150,0.15,3.0310775957061806,0.031810070059827,7.090151950454712,0.1208596981557887,0.5151336070206873,0.0011154368833208,True,5.47163320628779,0.5151336070206873
idr_0127,300,0.3,2.973914121446345,0.0331178288215189,6.857711473560333,0.1187120087241665,0.5033134469293578,0.0013678703534812,True,5.317427431744426,0.5033134469293578
idr_0127,500,0.5,2.98661237355742,0.0391721528780498,6.968302313137055,0.1500017012824165,0.5139423167031818,0.0009786695052386,True,5.443725874107914,0.5139423167031818
idr_0128,50,0.05,2.980875505546117,0.0266908133896542,6.787806690025331,0.1084169661837218,0.5276929585307077,0.0041305722349972,True,5.185268556323229,0.5276929585307077
idr_0128,100,0.1,2.943870727451212,0.0291384600844176,6.716937155151367,0.124519357581849,0.5293999348458669,0.0033890274658628,True,5.206011218691248,0.5293999348458669
idr_0128,150,0.15,2.917166883237611,0.027367066503517,6.745635923433304,0.1142088036921415,0.5357070152055284,0.0025401178204467,True,5.347160820159696,0.5357070152055284
idr_0128,300,0.3,2.900690761269124,0.0277713895005014,6.774535307407379,0.1035601625987663,0.5456476579350118,0.0024199065351289,True,5.454515217018936,0.5456476579350118
idr_0128,500,0.5,2.817564950880929,0.0256529197573698,6.559008554887772,0.1001341282405045,0.5295705595883784,0.0014749838061848,True,5.419116932294081,0.5295705595883784
idr_0129,50,0.05,2.8818006827160625,0.0311670589499713,6.896369475841523,0.1157806732464863,0.527561023756986,0.0013617798968935,True,5.72681510886001,0.527561023756986
idr_0129,100,0.1,2.881446402328949,0.0271190139909804,6.864131621646881,0.1086887056328345,0.5275887182441533,0.0012254970890085,True,5.6747941698821,0.5275887182441533
idr_0129,150,0.15,2.8481900239960942,0.030105575851928,6.748648021221161,0.1155170284787618,0.5160938623318525,0.0015627275825447,True,5.614300238776626,0.5160938623318525
idr_0129,300,0.3,2.7914383285633786,0.0276709182254975,6.666593332862854,0.1084451077395562,0.5244340398806926,0.0009485661844394,True,5.703636669674487,0.5244340398806926
idr_0129,500,0.5,2.743157897697068,0.0297717973286524,6.398385879325866,0.1044941960263425,0.4997327917533139,0.0016549268537812,True,5.440505373335569,0.4997327917533139
idr_0130,50,0.05,4.756100363329539,0.0382394732928567,11.730140605449677,0.175447215241925,0.6416383229513217,0.0084331245746989,True,6.082812289746191,0.6416383229513217
idr_0130,100,0.1,4.408225281809512,0.0369351900091548,10.691548233604433,0.1553569952340282,0.6171100634216181,0.0078060072239678,True,5.882387595814328,0.6171100634216181
