seq_id,Rg_50mM,Rg_100mM,Rg_150mM,Rg_300mM,Rg_500mM,Ree_50mM,Ree_100mM,Ree_150mM,Ree_300mM,Ree_500mM,nu_50mM,nu_100mM,nu_150mM,nu_300mM,nu_500mM,nu_masked_50mM,nu_masked_100mM,nu_masked_150mM,nu_masked_300mM,nu_masked_500mM,Ree_Rg_sq_50mM,Ree_Rg_sq_100mM,Ree_Rg_sq_150mM,Ree_Rg_sq_300mM,Ree_Rg_sq_500mM
lowfcr_0050,1.723124999278806,1.7153598743793377,1.7031478836576466,1.7424806125819363,1.723635354512134,3.665555477333069,3.7131541276454927,3.660631087636948,3.828201602077484,3.7455263916492463,0.4120575233637787,0.4202152784670404,0.4181674086872413,0.4372557419648019,0.4242703899589184,0.4120575233637787,0.4202152784670404,0.4181674086872413,0.4372557419648019,0.4242703899589184,4.525285949314812,4.685710570380635,4.619630167755791,4.826737626876595,4.722097347035152
lowfcr_0051,2.0561557568489275,2.0334029911983342,2.0162235770882173,2.006036355295315,1.988809861976884,4.503631928491592,4.511881738233567,4.446742535400391,4.397232849788666,4.333121171236038,0.4518508624187292,0.454163850059262,0.4411953939540916,0.4390598599252487,0.4282299527710551,0.4518508624187292,0.454163850059262,0.4411953939540916,0.4390598599252487,0.4282299527710551,4.797486471787139,4.9234382952518025,4.864145882132948,4.804866532842854,4.746955253154118
lowfcr_0052,1.995234954314372,1.9700019339733863,1.991153986456399,1.9506447595583087,1.9656875743852296,4.418729009580612,4.416859586811066,4.431386731290818,4.299798525476455,4.361151501274109,0.4560705088097501,0.4599124953020072,0.455332704347899,0.4344783288095206,0.4437935970785166,0.4560705088097501,0.4599124953020072,0.455332704347899,0.4344783288095206,0.4437935970785166,4.904634481662527,5.026826330463953,4.953014629287178,4.858921046729964,4.922359885758667
lowfcr_0053,1.78527622312093,1.821668178963268,1.8120066194513167,1.826105722457556,1.846506609509153,3.721979429674149,3.9150820683479295,3.899402402973175,3.9772806604862216,4.051574552583694,0.3988488832541932,0.434110744082375,0.4217356917687787,0.4253707470511884,0.4413310754236929,0.3988488832541932,0.434110744082375,0.4217356917687787,0.4253707470511884,0.4413310754236929,4.346474091843741,4.618949310520247,4.631018865857679,4.743737425982285,4.814441748239955
lowfcr_0054,1.9540001674353136,1.954794912208608,1.9151678051869363,1.882426746699733,1.958862435893764,4.181094461774826,4.16779323182106,4.118353324079513,3.9183868983268737,4.223688368988038,0.4085085094570094,0.4000608752584086,0.3900110612100798,0.3632007819846196,0.4049227249894967,0.4085085094570094,0.4000608752584086,0.3900110612100798,0.3632007819846196,0.4049227249894967,4.5785795670820475,4.545795873942503,4.624167333001567,4.332897959432031,4.649174630374987
lowfcr_0055,2.051466317868767,2.0830757146320367,2.0987658308241697,2.083452496949227,2.072862549321255,4.253855867528915,4.308609109592438,4.318525280427933,4.292566959953309,4.315551602458954,0.3845817499108073,0.384304042511217,0.3913571619940416,0.3859514899933179,0.3746832533188074,0.3845817499108073,0.384304042511217,0.3913571619940416,0.3859514899933179,0.3746832533188074,4.299686186697196,4.278229511048835,4.233923068830369,4.244894989306836,4.334426247864936
lowfcr_0056,2.135918081727303,2.1516025574421547,2.1714182590681226,2.151577240546951,2.113673616083305,4.441103919887542,4.609893632125854,4.751723138713837,4.633456310367585,4.59224553360939,0.4205073994547372,0.4317341083834575,0.4499550507023059,0.4329632641275828,0.421035625784739,0.4205073994547372,0.4317341083834575,0.4499550507023059,0.4329632641275828,0.421035625784739,4.323273258479744,4.590475836684425,4.78867414794275,4.637631758020126,4.720351594174358
lowfcr_0057,2.7428929532712565,2.7663316167574066,2.759577736967973,2.7643234330010444,2.859407540468216,6.057953663492202,6.129699318408966,5.984211071777344,6.121680159187317,6.483182389640808,0.4476300733998579,0.4434313604702825,0.4320578257479339,0.4392406220863197,0.468727982176143,0.4476300733998579,0.4434313604702825,0.4320578257479339,0.4392406220863197,0.468727982176143,4.8779144220241575,4.909868517727236,4.702497154720579,4.9041479069043294,5.140724892865213
ncpr_0000,2.578383140633295,2.4548852785911004,2.3725397334301417,2.2344828621623387,2.168294012362422,6.817112704658509,6.378658913803101,6.0719234188556666,5.642730918502807,5.439099944972992,0.6928929785496932,0.6686698522817693,0.6545603263749884,0.6305613752672363,0.6189228666700441,,,,0.6305613752672363,0.6189228666700441,6.990464629542751,6.751439128710099,6.54976294873748,6.377120530931664,6.2924205002138915
ncpr_0001,2.6118740405743472,2.4782577766043854,2.4027651002043284,2.260570594482288,2.1681894474322725,6.833978602027893,6.407410089063645,6.176177685642242,5.640536629676819,5.420425388050079,0.6946773325648906,0.6727287727401506,0.6579327729968069,0.6275818496252331,0.6204637961090794,,,,0.6275818496252331,0.6204637961090794,6.846092635787351,6.684548615601854,6.607192093073268,6.2259366847360615,6.249888777440354
ncpr_0002,2.5475314298530987,2.419465360078184,2.366479907936422,2.228866630552993,2.154221439964596,6.690717063713074,6.265991320228577,6.097003790092469,5.66228488855362,5.405325883865356,0.6818917512079256,0.6647925900312531,0.6529926494309978,0.6284032592431332,0.6169039621829033,,,,0.6284032592431332,0.6169039621829033,6.89773059674745,6.707192340464011,6.637847749697899,6.453796516859791,6.295976191518669
ncpr_0003,2.5918731603789027,2.484756682370304,2.378359602070172,2.231499255490889,2.1561350127052736,6.770780383300781,6.405658405303955,6.084548776626587,5.51591889719963,5.361626492118835,0.6851629678609902,0.6676827609048133,0.6524800217771748,0.6103554121481161,0.6149088222229021,,,,0.6103554121481161,0.6149088222229021,6.824172017880722,6.6459920301694915,6.544880403013784,6.1100146467807885,6.183597440839416
ncpr_0004,2.435534985751413,2.344270536010102,2.2540949070549603,2.1840159773448,2.149679877492299,6.111179472732543,5.822854653787614,5.53078967256546,5.321952120876313,5.302781682300567,0.6629056531919587,0.6421239588300326,0.6215212786240987,0.6071247681858634,0.6095043627621031,,0.6421239588300326,0.6215212786240987,0.6071247681858634,0.6095043627621031,6.295950886941647,6.169591947386648,6.020462989782864,5.937864786167263,6.084990610949306
ncpr_0005,2.423406991540079,2.3308839281218123,2.2860968802979653,2.1704139276206806,2.112443332418649,6.230523941135407,5.930856703996659,5.733162828063964,5.374528566980362,5.142967462062836,0.6740961797720146,0.6531493055142665,0.6425998474058936,0.615213425800576,0.595320366162169,,,0.6425998474058936,0.615213425800576,0.595320366162169,6.609923380075712,6.474311152724552,6.289256260962123,6.131907797194772,5.92730695217278
ncpr_0006,2.372023692552239,2.28934607952783,2.2425749318804704,2.1581189000932817,2.1035052947106307,6.065059451627731,5.787978682613372,5.620262606716157,5.431578162956237,5.143235328388214,0.6583101026160658,0.6426937018425957,0.6279938519712441,0.6211619310284292,0.5895837689911096,,0.6426937018425957,0.6279938519712441,0.6211619310284292,0.5895837689911096,6.537806753891082,6.391914341415709,6.280862565931058,6.334339419424438,5.978408307767118
ncpr_0007,2.4458633998625112,2.34384035579994,2.308523141050095,2.203253294744162,2.135147548137613,6.236616183137894,5.886459689331056,5.772227913856506,5.505205706882477,5.223880937099457,0.6586478667318076,0.6353934652795264,0.6309446801729527,0.6192268189807415,0.597017694827072,,0.6353934652795264,0.6309446801729527,0.6192268189807415,0.597017694827072,6.501800478026762,6.307427879937351,6.2519929073981,6.243358112739006,5.985917896449763
ncpr_0008,2.1494020187131864,2.151024707886552,2.1136003910355567,2.085141188903088,2.066238974616392,5.356562555027009,5.3144854247093205,5.258015880203248,5.168195600700378,5.103829043006898,0.6011465376351863,0.6013975450871017,0.5962665357144161,0.5910053578953949,0.5891268633232801,0.6011465376351863,0.6013975450871017,0.5962665357144161,0.5910053578953949,0.5891268633232801,6.210650027221776,6.104240594240803,6.1886799791412255,6.1433739191730306,6.101423063961759
ncpr_0009,2.175171648451696,2.134449482532556,2.106649355574757,2.0796239689523226,2.0575102126631144,5.421540237951279,5.275470618200302,5.177144922637939,5.120700338935851,5.072963520336152,0.6146770261287348,0.6053135795222028,0.5967225713861201,0.5901892629336924,0.5920658213783989,0.6146770261287348,0.6053135795222028,0.5967225713861201,0.5901892629336924,0.5920658213783989,6.212384148619726,6.108726145206502,6.039432543819845,6.063021316194104,6.079102687899315
ncpr_0010,2.0490363523570148,2.0446461114513017,2.0282439819098994,2.033991865959288,2.0205309554171373,5.1563333921432495,5.0322418243408205,4.954920093965531,5.058783638143539,4.916591259288787,0.6127371432292783,0.5927879402236768,0.5887280106191874,0.59131977274198,0.581262620587272,0.6127371432292783,0.5927879402236768,0.5887280106191874,0.59131977274198,0.581262620587272,6.332608691127984,6.057406288848008,5.968056394319593,6.1857702682251245,5.921029060822046
ncpr_0011,2.20547165789387,2.158440007664867,2.1298130756391944,2.088279756146036,2.0744783884321825,5.543247746658325,5.362761470317841,5.262085557079316,5.167229626750945,5.095239582538604,0.6213580185321467,0.609729936847718,0.5993834029579115,0.5938813569682421,0.5893093669234493,0.6213580185321467,0.609729936847718,0.5993834029579115,0.5938813569682421,0.5893093669234493,6.317214390733258,6.1730102261551565,6.104257312981192,6.12263213160696,6.032695291681264
ncpr_0012,1.992502828709064,1.988742745038688,1.9956864160365664,2.0059699427623774,1.9876149328108963,4.948333486223221,4.923508494329452,4.915110472774506,4.990240227794647,4.823542075204849,0.583793246438456,0.5839603067973931,0.5740252648212993,0.5896298258257702,0.5686980245745716,0.583793246438456,0.5839603067973931,0.5740252648212993,0.5896298258257702,0.5686980245745716,6.167654366742776,6.129035916686249,6.065714492458429,6.1886235136500005,5.88935373773063
ncpr_0013,2.054053152663343,2.054381080712576,2.0439621872606595,2.0595354896911404,2.059126650997385,4.942823446607589,5.066251780700684,4.945827749919892,5.028165367221833,5.042332406473159,0.5793572040287099,0.5946516489865611,0.5805226322443847,0.5850243056596648,0.5851840256215403,0.5793572040287099,0.5946516489865611,0.5805226322443847,0.5850243056596648,0.5851840256215403,5.790643666364113,6.081511397820944,5.855072263353866,5.960470524568093,5.996486018230187
ncpr_0014,1.9908378757071643,1.9857287350078272,2.0221345676891964,2.050964489273199,2.031954373638745,4.599611303567887,4.643542059803009,4.8034710706710815,4.930267846632004,4.883703412437439,0.5420247363365718,0.5516679571133619,0.5668127865457501,0.5804891527430558,0.5762909370390682,0.5420247363365718,0.5516679571133619,0.5668127865457501,0.5804891527430558,0.5762909370390682,5.3379005221477165,5.4683830234648365,5.642742760059526,5.778628107614079,5.776578226166559
ncpr_0015,1.963488167826648,1.9983721665705927,2.0357797731412832,2.026130959796882,2.028442311069607,4.79952490606308,4.929617399930954,4.988206244754792,4.958892531776428,4.940636478614808,0.5695916436958383,0.5810263350539403,0.5757137576117926,0.5785933428865329,0.5725078071284304,0.5695916436958383,0.5810263350539403,0.5757137576117926,0.5785933428865329,0.5725078071284304,5.975027691171071,6.085183561457677,6.003813781138774,5.9901040656221785,5.932537327501712
ncpr_0016,1.9615847285377708,1.999686717569902,2.002714283859889,2.0117570373675004,2.0127260542111185,4.667560729932785,4.7830703196048745,4.725583392524719,4.842395618009567,4.895215502977371,0.5666844735829134,0.5787660406350541,0.571627123705498,0.586300772953717,0.587991175812535,0.5666844735829134,0.5787660406350541,0.571627123705498,0.586300772953717,0.587991175812535,5.661947147916687,5.721232641857612,5.567662129759611,5.793879750601181,5.915266208729727
ncpr_0017,1.9450771674433889,1.9621174496469145,1.973524906310252,1.9977950102166973,2.0027207038467183,4.587689307069779,4.758902537298202,4.778808417320252,4.778302345275878,4.819497936725616,0.5459929417283069,0.5660409858116335,0.572434726066521,0.5630283329320392,0.5727693874991673,0.5459929417283069,0.5660409858116335,0.572434726066521,0.5630283329320392,0.5727693874991673,5.563067443633963,5.882522823000033,5.863460673303323,5.720650347866316,5.791123441894355
ncpr_0018,1.8990198679835133,1.948785498429716,1.943719815672786,1.9894760445461528,1.986073655337744,4.624288996505737,4.802215713644028,4.721727020263672,4.869636730432511,4.862802446842194,0.5564653481502697,0.5764000436344131,0.5642690047748687,0.5728411214482343,0.5734967519593378,0.5564653481502697,0.5764000436344131,0.5642690047748687,0.5728411214482343,0.5734967519593378,5.929675377454761,6.072328396542818,5.901119730736313,5.991225979396545,5.994908402136979
ncpr_0019,2.0234357322489265,2.026076417063714,2.015043226417715,2.047341863044513,2.045930481489828,4.903015129423141,4.935681541347504,4.870465440893173,4.99671606760025,5.0473722553253175,0.5745533581404156,0.5824432573729333,0.575208835170103,0.5883704933843411,0.5923053958611608,0.5745533581404156,0.5824432573729333,0.575208835170103,0.5883704933843411,0.5923053958611608,5.871480687012915,5.934479281495835,5.842143202477987,5.9564652195107755,6.086237936301681
ncpr_0020,1.9813087103620928,1.991224335360862,1.9887301378413669,1.99464743817118,2.0144605296023537,4.6821013133049005,4.784332084131241,4.742854301166534,4.8018673072338105,4.876438479471207,0.5581674187361652,0.5690372626212419,0.5565789013205523,0.5626551739594383,0.5749539859239952,0.5581674187361652,0.5690372626212419,0.5565789013205523,0.5626551739594383,0.5749539859239952,5.584410258198946,5.77300921749851,5.687584428315847,5.795461465014127,5.85986990397302
ncpr_0021,1.8174284796773423,1.8740138687081616,1.911308572913296,1.9613518282589304,2.004731308770516,4.188952695322038,4.332020196676254,4.481987156677247,4.658904034662247,4.791515929031371,0.5232032528734172,0.5290234299480635,0.5462077608378668,0.5620859013441147,0.567769726706948,0.5232032528734172,0.5290234299480635,0.5462077608378668,0.5620859013441147,0.567769726706948,5.312467099409601,5.3436172639908,5.498947835591552,5.642304503504218,5.712596198523663
ncpr_0022,1.9186911273064444,1.9652057798551104,1.989954728013063,2.017304010255402,2.037328414308324,4.337151921701431,4.579943936729431,4.688475878572464,4.904214565753937,4.939847097921371,0.515023706005743,0.5385351383583518,0.5459114755211465,0.56737044667392,0.5684335612535273,0.515023706005743,0.5385351383583518,0.5459114755211465,0.56737044667392,0.5684335612535273,5.109743916726755,5.431305830667584,5.551073523125215,5.910118952853927,5.879019876023516
ncpr_0023,1.9176926016564508,1.9647182445352,2.037670997667317,2.0153053757199104,2.047681254408764,4.416841898870468,4.59573013663292,4.868126542711257,4.8315133469104765,4.958812513971329,0.5270475274567181,0.5422873743059153,0.5733289156326133,0.5669981554930975,0.5781296287451115,0.5270475274567181,0.5422873743059153,0.5733289156326133,0.5669981554930975,0.5781296287451115,5.304759782259929,5.471526178798503,5.707627073591515,5.7475749129631675,5.864495642781644
ncpr_0024,2.1899199176039006,2.142472988318592,2.127753437859028,2.1060610928636563,2.079918281933622,5.444586012601852,5.243863427734374,5.221224367570878,5.155226544761657,5.1104833022594445,0.6040768191057294,0.5921195389312863,0.5893606316995408,0.5857813442277598,0.5809998552779211,0.6040768191057294,0.5921195389312863,0.5893606316995408,0.5857813442277598,0.5809998552779211,6.181206591717071,5.990623616761554,6.021464227673573,5.9917485540543165,6.037142162459969
ncpr_0025,2.115172416686997,2.089223030172021,2.102789339985174,2.0794073635422485,2.077431793761406,5.249624531841278,5.086175956344605,5.227724793052674,5.068437673091888,5.037357548332214,0.6087641150297672,0.5872129335994747,0.6094671769181564,0.5859828540769704,0.5817163956991542,0.6087641150297672,0.5872129335994747,0.6094671769181564,0.5859828540769704,0.5817163956991542,6.159776241583476,5.926702830667558,6.1806464268016255,5.941130138109516,5.879657222262425
ncpr_0026,2.183508739930544,2.120177236920952,2.127665236947929,2.051453376959017,2.048218354779648,5.269602908706665,5.130047253370285,5.142879042005539,4.920601074647904,4.988438511419297,0.605610566605749,0.5965799557257407,0.5958314143415615,0.5793452065430564,0.5888501930008658,0.605610566605749,0.5965799557257407,0.5958314143415615,0.5793452065430564,0.5888501930008658,5.824329161095803,5.8546157406230765,5.842598250690065,5.753246894387955,5.931666690911571
ncpr_0027,2.1364413273976823,2.126327970967328,2.09052206371428,2.061043689112602,2.0311433347916883,5.357245468997955,5.333037490081787,5.190326233625412,5.08203028345108,4.94758739581108,0.6060360168471797,0.6080137274730482,0.6007139470231359,0.5939453644306979,0.5818935949791458,0.6060360168471797,0.6080137274730482,0.6007139470231359,0.5939453644306979,0.5818935949791458,6.287835214815215,6.290552177578853,6.164243711564974,6.079951313427126,5.933429751376715
ncpr_0028,2.41362944588864,2.312688103635385,2.279740022463142,2.1831220218151777,2.102546215902937,5.9675862564086914,5.638006759881973,5.577860135746003,5.307031344032287,5.078927205276489,0.6376728570461119,0.6130197802041883,0.6143398301261211,0.6055674304471163,0.5828909237399729,0.6376728570461119,0.6130197802041883,0.6143398301261211,0.6055674304471163,0.5828909237399729,6.1130256647553125,5.943154927421448,5.986384297738011,5.909453018092823,5.835161425499836
ncpr_0029,2.374610215367281,2.3097505397621862,2.2336385561611944,2.1657611334302698,2.1337382679475043,6.071630620002747,5.888336225414276,5.6337580029487615,5.406675147008896,5.29817331762314,0.640540625312379,0.6364358076975106,0.6213104837855179,0.607883881516759,0.6037928966573576,0.640540625312379,0.6364358076975106,0.6213104837855179,0.607883881516759,0.6037928966573576,6.537715558557954,6.4991273372453495,6.361661850445441,6.232172152340719,6.165524528233272
ncpr_0030,2.300705110313401,2.223526415987724,2.181309342345554,2.130956621371773,2.07495419743543,5.80440790309906,5.621632538843155,5.451899916839601,5.273062842512131,5.079738512945175,0.6387223566485656,0.6268504752769246,0.6143951506729954,0.5967919680289393,0.5831061305972444,0.6387223566485656,0.6268504752769246,0.6143951506729954,0.5967919680289393,0.5831061305972444,6.364934447786432,6.39205233238325,6.246852197798658,6.12317506038896,5.993295411646531
ncpr_0031,2.3564675587543555,2.2800734471790527,2.22217606097842,2.127243164375867,2.097527424515468,6.037187138462066,5.7121018427848815,5.566262662553787,5.300748163747787,5.164988789749146,0.6534667694646097,0.6288409298966668,0.6187931082691928,0.6061724492272607,0.5949455540773905,,0.6288409298966668,0.6187931082691928,0.6061724492272607,0.5949455540773905,6.563664072607411,6.27616293886924,6.274374872725425,6.209263205026153,6.063501242455492
ncpr_0032,2.6236914285185144,2.4728088222748776,2.3971763708356795,2.2472972725927547,2.165497094492065,6.936167140960693,6.435337864303589,6.0910912061691285,5.671848905944824,5.360911738824845,0.6920816943957895,0.6637714514184518,0.6438232902704459,0.6222272616460294,0.6076184337641142,,,0.6438232902704459,0.6222272616460294,0.6076184337641142,6.988976603851405,6.772696632779021,6.4563970253959555,6.36983608284911,6.128611665954899
